Car_category,year_month,forecast_lower,Chronos Tiny,forecast_upper
BEV,2015-05-01,3003.742822265625,3385.9739990234375,3939.248950195313
BEV,2015-06-01,2494.101318359375,3220.166015625,3757.73310546875
BEV,2015-07-01,2268.95166015625,3063.084716796875,3984.6279052734376
BEV,2015-08-01,2438.25029296875,2827.462890625,3618.1049560546876
BEV,2015-09-01,2216.591064453125,2923.4569091796875,3541.309790039063
BEV,2015-10-01,2220.081884765625,2940.910400390625,3595.415649414063
BEV,2015-11-01,2370.181689453125,2914.7301025390625,3858.9630615234382
BEV,2015-12-01,2335.2749267578124,2897.2767333984375,3932.2676269531253
PHEV,2015-05-01,4038.685791015625,4809.999755859375,5490.255859375
PHEV,2015-06-01,3737.6591552734376,4263.65234375,5583.45634765625
PHEV,2015-07-01,3258.8016845703123,4033.3294677734375,5560.959765625
PHEV,2015-08-01,3035.9776611328125,3974.4097900390625,5700.225048828125
PHEV,2015-09-01,3050.975341796875,3877.99560546875,5722.721435546875
PHEV,2015-10-01,3035.9775390625,3829.788330078125,5776.285107421875
PHEV,2015-11-01,2998.483056640625,3808.3629150390625,5861.986376953126
PHEV,2015-12-01,2737.0935546875,3894.064453125,6061.2423828125
