year_month,TiDE,forecast_lower,forecast_upper,Car_category
2015-05-01,6226.449806532624,4081.607135593005,10487.822789468104,BEV
2015-06-01,4067.2456095411103,1788.0587646010852,8648.326138338494,BEV
2015-07-01,6251.341303301867,5488.045550088487,12517.186507504272,BEV
2015-08-01,3251.529536161011,0.0,3418.0257591567706,BEV
2015-09-01,8842.792908227042,0.0,18662.53164544328,BEV
2015-10-01,0.0,0.0,12802.683541801849,BEV
2015-11-01,0.0,0.0,5386.234150493596,BEV
2015-12-01,2926.229454311575,0.0,7834.386584707219,BEV
2015-05-01,1119.4125735855714,37.34851898643241,1407.653710255479,PHEV
2015-06-01,0.0,0.0,1233.8876371253307,PHEV
2015-07-01,2904.4981321575797,1961.157420596441,6721.283745364324,PHEV
2015-08-01,318.8411225281842,0.0,372.16574824441403,PHEV
2015-09-01,2333.9239395882314,0.0,6134.807793481114,PHEV
2015-10-01,0.0,0.0,1715.7161591861245,PHEV
2015-11-01,0.0,0.0,3455.62736643824,PHEV
2015-12-01,2772.771625814285,0.0,2930.325758984104,PHEV
